ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00030669;Manuel;Neuer;Neuer;Manuel Neuer;Bayern München;GOALKEEPER;3800000;136;3.15
pl-k00030961;Philipp;Pentke;Pentke;Philipp Pentke;1. FC Köln;GOALKEEPER;800000;0;0.0
pl-k00037056;Tobias;Sippel;Sippel;Tobias Sippel;Bor. Mönchengladbach;GOALKEEPER;500000;0;0.0
pl-k00038851;Norman;Theuerkauf;Theuerkauf;Norman Theuerkauf;1. FC Heidenheim;MIDFIELDER;1000000;69;3.65
pl-k00039161;Sven;Ulreich;Ulreich;Sven Ulreich;Bayern München;GOALKEEPER;800000;70;3.09
pl-k00039245;Oliver;Baumann;Baumann;Oliver Baumann;TSG Hoffenheim;GOALKEEPER;3200000;241;2.85
pl-k00039317;Thomas;Müller;T. Müller;Thomas Müller;Bayern München;MIDFIELDER;5000000;165;3.22
pl-k00040152;Mats;Hummels;Hummels;Mats Hummels;Borussia Dortmund;DEFENDER;3500000;134;3.19
pl-k00040780;Manuel;Riemann;Riemann;Manuel Riemann;VfL Bochum;GOALKEEPER;2500000;204;3.06
pl-k00040891;Jens;Grahl;Grahl;Jens Grahl;Eintracht Frankfurt;GOALKEEPER;500000;9;3.5
pl-k00041690;Manuel;Gulde;Gulde;Manuel Gulde;SC Freiburg;DEFENDER;1400000;94;3.59
pl-k00041708;Patrick;Herrmann;Herrmann;Patrick Herrmann;Bor. Mönchengladbach;FORWARD;1600000;16;0.0
pl-k00042122;Kevin;Trapp;Trapp;Kevin Trapp;Eintracht Frankfurt;GOALKEEPER;3600000;203;3.05
pl-k00042607;Eric Maxim;Choupo-Moting;Choupo-Moting;Eric Maxim Choupo-Moting;Bayern München;FORWARD;3300000;79;3.5
pl-k00042610;Tobias;Kempe;Kempe;Tobias Kempe;SV Darmstadt 98;MIDFIELDER;1400000;73;3.81
pl-k00043253;Tony;Jantschke;Jantschke;Tony Jantschke;Bor. Mönchengladbach;DEFENDER;1000000;8;0.0
pl-k00043257;Sebastian;Polter;Polter;Sebastian Polter;SV Darmstadt 98;FORWARD;1300000;7;4.21
