"","spt","team","status","player","type","begin","end","mins","grade","location","opponent","tG","tGA","npG","pG","npA","pA","ownG","ylw","ylwred","red","sds","Position","kID","Vorname","Nachname","Name_lang","MW","Punkte","Note","G_coef","status_pts","grade_pts","npG_pts","pG_pts","npA_pts","pA_pts","ylwred_pts","red_pts","sds_pts","clean_sheet_pts","points","name_long"
"1",1,"Bor. Mönchengladbach","start","Omlin","Tor",0,90,90,2.5,"home","Bayer 04 Leverkusen",2,3,0,0,0,0,0,0,0,0,FALSE,"Tor","pl-k00084309","Jonas","Omlin","Jonas Omlin",2.6,53,3.33,6,4,4,0,0,0,0,0,0,0,0,8,"Jonas Omlin"
"2",1,"Bor. Mönchengladbach","start","Scally","Abwehr",0,90,90,4,"home","Bayer 04 Leverkusen",2,3,0,0,0,0,0,0,0,0,FALSE,"Abwehr","pl-k00113185","Joe","Scally","Joe Scally",1.5,64,4,5,4,-2,0,0,0,0,0,0,0,0,2,"Joe Scally"
"3",1,"Bor. Mönchengladbach","start","Itakura","Abwehr",0,90,90,3,"home","Bayer 04 Leverkusen",2,3,0,0,0,0,0,0,0,0,FALSE,"Abwehr","pl-k00106087","Ko","Itakura","Ko Itakura",2,156,3.42,5,4,2,0,0,0,0,0,0,0,0,6,"Ko Itakura"
"4",1,"Bor. Mönchengladbach","start","Elvedi","Abwehr",0,90,90,3.5,"home","Bayer 04 Leverkusen",2,3,1,0,0,0,0,0,0,0,FALSE,"Abwehr","pl-k00084365","Nico","Elvedi","Nico Elvedi",2,111,3.46,5,4,0,5,0,0,0,0,0,0,0,9,"Nico Elvedi"
"5",1,"Bor. Mönchengladbach","start","Honorat","Mittelfeld",0,90,90,4,"home","Bayer 04 Leverkusen",2,3,0,0,0,0,0,0,0,0,FALSE,"Mittelfeld","pl-k00091126","Franck","Honorat","Franck Honorat",2.8,117,3.42,4,4,-2,0,0,0,0,0,0,0,0,2,"Franck Honorat"
"6",1,"Bor. Mönchengladbach","start","Reitz","Mittelfeld",0,71,71,3.5,"home","Bayer 04 Leverkusen",2,3,0,0,0,0,0,0,0,0,FALSE,"Mittelfeld","pl-k00104895","Rocco","Reitz","Rocco Reitz",3,115,3.43,4,4,0,0,0,0,0,0,0,0,0,4,"Rocco Reitz"
"7",1,"Bor. Mönchengladbach","start","Weigl","Mittelfeld",0,90,90,3.5,"home","Bayer 04 Leverkusen",2,3,0,0,0,0,0,0,0,0,FALSE,"Mittelfeld","pl-k00076799","Julian","Weigl","Julian Weigl",2.2,88,3.86,4,4,0,0,0,0,0,0,0,0,0,4,"Julian Weigl"
"8",1,"Bor. Mönchengladbach","start","Netz","Abwehr",0,90,90,5,"home","Bayer 04 Leverkusen",2,3,0,0,0,0,0,0,0,0,FALSE,"Abwehr","pl-k00107684","Luca","Netz","Luca Netz",1.7,38,4.13,5,4,-6,0,0,0,0,0,0,0,0,-2,"Luca Netz"
"9",1,"Bor. Mönchengladbach","start","Stöger","Mittelfeld",0,90,90,2,"home","Bayer 04 Leverkusen",2,3,0,0,1,0,0,0,0,0,FALSE,"Mittelfeld","pl-k00067514","Kevin","Stöger","Kevin Stöger",3.5,108,3.57,4,4,6,0,0,2,0,0,0,0,0,12,"Kevin Stöger"
"10",1,"Bor. Mönchengladbach","start","Plea","Sturm",0,71,71,5,"home","Bayer 04 Leverkusen",2,3,0,0,0,0,0,0,0,0,FALSE,"Sturm","pl-k00075072","Alassane","Plea","Alassane Plea",2.5,143,3.66,3,4,-6,0,0,0,0,0,0,0,0,-2,"Alassane Plea"
"11",1,"Bor. Mönchengladbach","start","Kleindienst","Sturm",0,90,90,2.5,"home","Bayer 04 Leverkusen",2,3,1,0,0,0,0,0,0,0,FALSE,"Sturm","pl-k00076954","Tim","Kleindienst","Tim Kleindienst",3.8,202,3.45,3,4,4,3,0,0,0,0,0,0,0,11,"Tim Kleindienst"
"12",1,"Bor. Mönchengladbach","sub","Cvancara","Sturm",71,90,19,NA,"home","Bayer 04 Leverkusen",2,3,0,0,0,0,0,0,0,0,FALSE,"Sturm","pl-k00112498","Tomas","Cvancara","Tomas Cvancara",1.6,52,4.25,3,2,NA,0,0,0,0,0,0,0,0,2,"Tomas Cvancara"
"13",1,"Bor. Mönchengladbach","sub","Sander","Mittelfeld",71,90,19,NA,"home","Bayer 04 Leverkusen",2,3,0,0,0,0,0,0,0,0,FALSE,"Mittelfeld","pl-k00090371","Philipp","Sander","Philipp Sander",2,74,3.75,4,2,NA,0,0,0,0,0,0,0,0,2,"Philipp Sander"
"14",1,"Bor. Mönchengladbach","sub","Chiarodia","Abwehr",90,90,0,NA,"home","Bayer 04 Leverkusen",2,3,0,0,0,0,0,0,0,0,FALSE,"Abwehr","pl-k00137935","Fabio","Chiarodia","Fabio Chiarodia",1,39,3.7,5,2,NA,0,0,0,0,0,0,0,0,2,"Fabio Chiarodia"
"15",1,"Bor. Mönchengladbach","sub","Ngoumou","Mittelfeld",90,90,0,NA,"home","Bayer 04 Leverkusen",2,3,0,0,0,0,0,0,0,0,FALSE,"Mittelfeld","pl-k00117583","Nathan","Ngoumou","Nathan Ngoumou",1.8,50,3.86,4,2,NA,0,0,0,0,0,0,0,0,2,"Nathan Ngoumou"
"16",1,"Bor. Mönchengladbach","sub","Lainer","Abwehr",90,90,0,NA,"home","Bayer 04 Leverkusen",2,3,0,0,0,0,0,1,0,0,FALSE,"Abwehr","pl-k00066249","Stefan","Lainer","Stefan Lainer",1.4,47,3.88,5,2,NA,0,0,0,0,0,0,0,0,2,"Stefan Lainer"
"17",1,"Bor. Mönchengladbach","bench","Nicolas","Tor",NA,NA,NA,NA,"home","Bayer 04 Leverkusen",2,3,0,0,0,0,0,0,0,0,FALSE,"Tor","pl-k00079199","Moritz","Nicolas","Moritz Nicolas",1.8,142,2.78,6,0,NA,0,0,0,0,0,0,0,0,0,"Moritz Nicolas"
"18",1,"Bor. Mönchengladbach","bench","Friedrich","Abwehr",NA,NA,NA,NA,"home","Bayer 04 Leverkusen",2,3,0,0,0,0,0,0,0,0,FALSE,"Abwehr","pl-k00077333","Marvin","Friedrich","Marvin Friedrich",1.6,76,3.23,5,0,NA,0,0,0,0,0,0,0,0,0,"Marvin Friedrich"
"19",1,"Bor. Mönchengladbach","bench","Hack","Mittelfeld",NA,NA,NA,NA,"home","Bayer 04 Leverkusen",2,3,0,0,0,0,0,0,0,0,FALSE,"Mittelfeld","pl-k00082727","Robin","Hack","Robin Hack",3.5,133,3.71,4,0,NA,0,0,0,0,0,0,0,0,0,"Robin Hack"
"20",1,"Bor. Mönchengladbach","bench","Neuhaus","Mittelfeld",NA,NA,NA,NA,"home","Bayer 04 Leverkusen",2,3,0,0,0,0,0,0,0,0,FALSE,"Mittelfeld","pl-k00081913","Florian","Neuhaus","Florian Neuhaus",2.2,45,3.5,4,0,NA,0,0,0,0,0,0,0,0,0,"Florian Neuhaus"
"21",1,"Bayer 04 Leverkusen","start","Hradecky","Tor",0,90,90,2,"away","Bor. Mönchengladbach",3,2,0,0,0,0,0,0,0,0,FALSE,"Tor","pl-k00057925","Lukas","Hradecky","Lukas Hradecky",3.6,166,3.17,6,4,6,0,0,0,0,0,0,0,0,10,"Lukas Hradecky"
"22",1,"Bayer 04 Leverkusen","start","Tapsoba","Abwehr",0,90,90,4,"away","Bor. Mönchengladbach",3,2,0,0,0,0,0,0,0,0,FALSE,"Abwehr","pl-k00114601","Edmond","Tapsoba","Edmond Tapsoba",3.6,124,3.43,5,4,-2,0,0,0,0,0,0,0,0,2,"Edmond Tapsoba"
"23",1,"Bayer 04 Leverkusen","start","Tah","Abwehr",0,90,90,2.5,"away","Bor. Mönchengladbach",3,2,0,0,0,0,0,0,0,0,FALSE,"Abwehr","pl-k00070592","Jonathan","Tah","Jonathan Tah",5.5,244,2.83,5,4,4,0,0,0,0,0,0,0,0,8,"Jonathan Tah"
"24",1,"Bayer 04 Leverkusen","start","Hincapie","Abwehr",0,90,90,3,"away","Bor. Mönchengladbach",3,2,0,0,0,0,0,0,0,0,FALSE,"Abwehr","pl-k00123844","Piero","Hincapie","Piero Hincapie",2.6,200,2.97,5,4,2,0,0,0,0,0,0,0,0,6,"Piero Hincapie"
